name,mmsi,known,tonnage,length,power
FU YUAN YU 172	,412440178,trawler,316,38.9,1000
FU YUAN YU 173,412440179,trawler,316,38.9,1000
FU YUAN YU 174,412440181,trawler,316,38.9,1000
FU YUAN YU 175	,412440182,trawler,316,38.9,1000
FU YUAN YU 176,412440183,trawler,316,38.9,1000
FU YUAN YU 177,412440184,trawler,316,38.9,1000
FU YUAN YU 178,412440185,trawler,316,38.9,1000
FU YUAN YU 179,412440186,trawler,316,38.9,1000
FU YUAN YU 180,412440187,trawler,316,38.9,1000
FU YUAN YU 181,412440188,trawler,316,38.9,1000
FU YUAN YU 182,412440189,trawler,316,38.9,1000
FU YUAN YU 183,412440191,trawler,316,38.9,1000
FU YUAN YU 184,412440192,trawler,316,38.9,1000
FU YUAN YU 185,412440193,trawler,316,38.9,1000
FU YUAN YU 186,412440194,trawler,316,38.9,1000
FU YUAN YU 187,412440195,trawler,316,38.9,1000
FU YUAN YU 188,412440196,trawler,316,38.9,1000
FU YUAN YU 189,412440197,trawler,316,38.9,1000
FU YUAN YU 190,412440198,trawler,316,38.9,1000
FU YUAN YU 191,412440354,lighting_purse_seine,521,45.02,1800
FU YUAN YU 192,412440355,lighting_purse_seine,521,45.02,1800
FU YUAN YU 193,412440356,lighting_purse_seine,521,45.02,1800
FU YUAN YU 9709,412440445,trawler,225,32.29,900
FU YUAN YU 9710,412440446,trawler,225,32.29,900
FU YUAN YU 9711,412440447,trawler,225,32.29,900
FU YUAN YU 9712,412440448,trawler,225,32.29,900
FU YUAN YU 9713,412440449,trawler,225,32.29,900
FU YUAN YU 9714,412440451,trawler,225,32.29,900
FU YUAN YU 7880,412440452,squid_jigger,1497,67.68,2100
FU YUAN YU 7881,412440453,squid_jigger,1497,67.68,2100
FU YUAN YU 9607,412440461,drift_net,225,32.29,900
FU YUAN YU 9608,412440462,drift_net,225,32.29,900
FU YUAN YU 9609,412440463,drift_net,225,32.29,900
FU YUAN YU 9610,412440464,drift_net,225,32.29,900
FU YUAN YU 9611,412440465,drift_net,225,32.29,900
FU YUAN YU 9613,412440467,drift_net,225,32.29,900
FU YUAN YU 9614,412440468,drift_net,225,32.29,900
FU YUAN YU 9615,412440469,drift_net,225,32.29,900
FU YUAN YU 9616,412440471,drift_net,225,32.29,900
FU YUAN YU 9617,412440472,drift_net,225,32.29,900
FU YUAN YU 9618,412440473,drift_net,225,32.29,900
FU YUAN YU 9620,412440475,drift_net,225,32.29,900
FU YUAN YU 9621,412440476,drift_net,225,32.29,900
FU YUAN YU 7861,412440551,drifting_longline,538,44.74,1000
FU YUAN YU 7862,412440552,drifting_longline,538,44.74,1000
FU YUAN YU 7863,412440553,drifting_longline,538,44.74,1000
FU YUAN YU 7864,412440554,drifting_longline,538,44.74,1000
FU YUAN YU 7882,412440555,squid_jigger,1478,67.68,1760
FU YUAN YU 7883,412440556,squid_jigger,1478,67.68,1760
FU YUAN YU 537,412673070,trawler,480,50.64,1470
FU YUAN YU 538,412673080,trawler,480,50.64,1470
FU YUAN YU 539,412673090,trawler,364,46.4,1100
FU YUAN YU 540,412673110,trawler,357,46.4,1100
FU YUAN YU 755,412685330,trawler,269,36.52,441
FU YUAN YU 756,412685350,trawler,269,36.52,441
FU YUAN YU 757,412685410,trawler,269,36.52,441
FU YUAN YU 758,412685430,trawler,269,36.52,441
FU YUAN YU 759,412685450,trawler,269,36.52,441
FU YUAN YU 791	,412686380,trawler,266,38.5,552
FU YUAN YU 792,412686390,trawler,266,38.5,552
FU YUAN YU 737,412689820,trawler,192,33.26,441
FU YUAN YU 738,412689830,trawler,192,33.26,441
FU YUAN YU 750,412689990,trawler,270,38.56,441
FU YUAN YU 751,412690010,trawler,270,38.56,441
FU YUAN YU 532,412691190,trawler,280,39.78,810
FU YUAN YU 533,412691210,trawler,280,39.78,810
FU YUAN YU 535,412691320,trawler,293,41,735
FU YUAN YU 536,412691330,trawler,293,41,735
FU YUAN YU 151,412693180,trawler,230,38.51,441
FU YUAN YU 152	,412693190,trawler,230,38.51,441
FU YUAN YU 155,412693230,trawler,272,38.74,810
FU YUAN YU 156,412693240,trawler,274,38.69,810
FU YUAN YU 735,412694750,trawler,236,35.63,810
FU YUAN YU 736,412694760,trawler,236,35.63,810
FU YUAN YU 901,510032000,drift_net,258,37.4,600
FU YUAN YU 902,510033000,drift_net,258,37.4,600
FU YUAN YU 903,,drift_net,258,37.4,600
FU YUAN YU 904,,drift_net,258,37.4,600
FU YUAN YU 905,510035000,drift_net,258,37.4,600
FU YUAN YU 907,,drift_net,258,37.4,600
FU YUAN YU 906,,drift_net,258,37.4,600
FU YUAN YU 908,,drift_net,258,37.4,600
FU YUAN YU 909,,drift_net,258,37.4,600
FU YUAN YU 910,,drift_net,258,37.4,600
FU YUAN YU 911,,drift_net,258,37.4,600
FU YUAN YU 912,,drift_net,258,37.4,600
FU YUAN YU 913,,drift_net,258,37.4,600
FU YUAN YU 914,,drift_net,258,37.4,600
FU YUAN YU 915,,drift_net,258,37.4,600
FU YUAN YU 916,,drift_net,258,37.4,600
FU YUAN YU 917,,drift_net,258,37.4,600
FU YUAN YU 918,,drift_net,258,37.4,600
FU YUAN YU 919,,drift_net,258,37.4,600
FU YUAN YU 920,,drift_net,258,37.4,600
