,mmsi,label,length,tonnage,power,geartype,secondary_geartype
34,230052950,Trawlers,22.04,78.0,402.0,OTM,OTB
35,227322070,Pots_and_traps|Set_gillnets,10.9,12.16,159.0,FPO,GTR
36,247304290,Trawlers|Set_longlines,17.64,27.0,161.8,OTB,LLS
37,247120640,Trawlers|Set_longlines,15.12,25.0,118.0,OTB,LLS
38,220353000,Set_gillnets|Trawlers,15.68,39.6,217.0,GNS,OTB
39,239391000,Set_gillnets|Drifting_longlines,17.7,27.0,220.53,GTN,LLD
40,211313780,Trawlers,18.91,43.0,213.0,TBB,OTB
41,211605000,Trawlers,16.44,27.0,221.0,TBB,OTB
42,247111480,Trawlers,26.75,39.0,220.22,OTB,NO
43,275016000,Trawlers,25.45,112.0,368.0,OTM,OTB
44,219904000,Trawlers,18.2,47.5,221.0,OTB,NO
45,247092330,Trawlers,21.01,37.0,206.0,OTB,NO
46,247202650,Trawlers|Purse_seines,16.97,57.0,244.0,OTB,PS
47,227104700,Trawlers,23.0,148.83,484.0,OTB,OTM
48,224077140,Purse_seines,21.0,65.64,264.9,PS,NO
49,247113720,Trawlers,23.1,67.0,331.0,OTB,NO
50,247131320,Trawlers,22.0,74.0,480.0,OTB,NO
51,239467000,Purse_seines|Set_gillnets,15.9,17.0,88.21,PS,GTR
52,250001339,Trawlers,24.95,186.0,435.0,OTM,NO
53,224093760,Set_longlines,21.26,69.0,292.86,LLS,NO
54,235020423,Trawlers,20.2,82.0,272.29,OTB,NO
55,224687000,Drifting_longlines,25.7,154.0,175.86,LLD,NO
56,211535000,Trawlers,20.09,75.0,220.0,OTB,PTB
57,220242000,Trawlers,18.0,67.3,220.0,OTB,NO
58,235032001,Trawlers,14.02,28.24,143.0,PTB,NO
59,247102180,Trawlers|Purse_seines,18.68,49.0,206.0,OTB,PS
60,246489000,Trawlers,22.97,83.0,221.0,OTT,TBB
61,235001428,Trawlers,16.99,38.0,145.0,OTB,NO
62,232328000,Trawlers,24.26,266.0,738.0,OTT,NO
63,224052350,Purse_seines,31.6,156.0,298.72,PS,NO
64,235066405,Trawlers,33.53,186.0,383.0,OTB,NO
65,265670930,Set_gillnets|Pole_and_line,10.0,8.1,58.84,GNS,LHP
66,247083520,Trawlers,17.48,48.0,66.2,OTB,NO
67,263407550,Trawlers,31.35,251.0,573.69,OTB,NO
68,211314450,Trawlers|other_fishing,30.28,299.0,415.0,OTB,SDN
69,224067670,Trawlers,27.9,210.8,316.41,OTB,NO
70,247076860,Trawlers,17.9,50.0,138.2,OTB,NO
71,230069190,Trawlers,20.6,113.0,448.0,OTB,OTM
72,247070880,Trawlers|Set_gillnets,22.32,70.0,330.9,OTB,GNS
73,224146950,Purse_seines,23.5,83.26,289.92,PS,NO
74,227636430,Set_gillnets|Set_longlines,11.0,9.0,110.0,GNS,LLS
75,247156120,Trawlers|Set_longlines,15.45,22.0,206.0,OTB,LLS
76,232006590,Set_gillnets,38.2,307.0,746.0,GNS,NO
77,211351000,Trawlers,17.24,41.0,221.0,TBB,OTB
78,247141690,Set_gillnets,15.58,23.0,162.0,GNS,NO
79,263420260,Purse_seines,17.07,26.86,176.52,PS,NO
80,219012302,Set_gillnets,15.39,32.7,210.0,GNS,NO
81,224072690,Trawlers,24.72,75.48,226.64,OTB,NO
82,247070540,Trawlers,21.0,67.0,373.0,OTB,PTM
83,244770007,Trawlers,24.94,72.0,190.0,DRB,NO
84,227590000,Trawlers,19.5,113.94,397.0,OTB,OTM
85,247302220,Trawlers,21.88,57.0,350.0,OTB,NO
86,247092230,Trawlers|Set_longlines,21.1,55.0,316.0,OTB,LLS
87,246516000,Trawlers,33.77,155.0,403.0,DRB,NO
88,275136000,Trawlers,25.45,109.0,272.0,OTM,OTB
89,250000387,Trawlers,40.0,329.0,714.0,DRB,NO
90,265658830,Trawlers|Pots_and_traps,9.97,5.99,62.5,OTB,FPO
91,246273000,Trawlers,23.97,151.0,221.0,TBB,OTB
92,227320160,Set_gillnets|Pots_and_traps,9.12,10.42,105.0,GNS,FPO
93,224056190,Purse_seines,36.2,226.0,809.42,PS,NO
94,247113390,Trawlers,20.55,93.0,235.0,OTB,PTM
95,235096263,Pots_and_traps,10.78,16.78,169.0,FPO,NO
96,211166000,Trawlers,16.73,35.0,221.0,TBB,OTB
97,224015930,Set_gillnets,18.55,45.62,161.88,GNS,NO
98,247151080,Trawlers,18.29,35.0,175.0,OTB,NO
99,275191000,Set_gillnets|Set_longlines,19.48,122.0,294.0,GNS,LLS
100,263410840,Drifting_longlines|Set_longlines,19.2,51.45,266.21,LLD,LLS
101,240426000,Trawlers,26.7,154.0,220.53,OTB,NO
102,247049440,Purse_seines|Set_longlines,16.9,16.0,208.8,PS,LLS
103,247054130,Trawlers|Set_longlines,16.8,29.0,182.28,OTB,LLS
104,224123730,Trawlers,27.0,205.94,360.56,OTB,NO
105,247118400,Trawlers,41.4,435.0,990.0,OTB,NO
106,235002820,Trawlers,23.8,128.0,220.0,TBB,NO
107,247050740,Trawlers|Set_longlines,16.6,49.0,175.67,OTB,LLS
108,232006840,Set_gillnets,27.3,200.0,298.0,GNS,NO
109,224175960,Set_longlines|Set_gillnets,33.5,307.0,367.18,LLS,GNS
110,224021460,Purse_seines,29.85,135.31,245.03,PS,NO
111,224069650,Set_gillnets,21.0,93.43,117.73,GNS,NO
112,211607000,Trawlers,15.96,26.0,185.0,TBB,OTB
113,250000315,other_fishing,14.48,26.53,89.53,GND,NO
114,247140950,Set_longlines|other_fishing,20.5,60.0,530.0,LLS,GND
115,263422770,Trawlers,20.0,105.95,405.0,OTB,NO
116,219871000,Trawlers,16.02,40.0,216.0,OTB,NO
117,247281510,Trawlers|Set_longlines,19.53,51.0,250.0,OTB,LLS
118,224272000,Set_longlines|Pots_and_traps,26.4,200.0,451.07,LLS,FPO
119,219762000,Set_gillnets|Trawlers,35.1,263.0,453.0,GNS,OTB
120,224019620,Purse_seines,36.0,229.0,625.46,PS,NO
121,265779000,Trawlers,33.4,191.0,662.0,OTB,NO
122,219002251,Trawlers,11.96,19.0,130.0,OTB,NO
123,247092890,Trawlers|Set_longlines,21.26,60.0,289.7,OTB,LLS
124,247142190,Purse_seines|Set_longlines,16.8,29.0,192.0,PS,LLS
125,247063240,Trawlers,19.49,51.0,198.5,OTB,NO
126,219013976,Set_gillnets|Set_longlines,15.48,46.9,112.0,GNS,LLS
127,247052590,Trawlers,21.06,70.0,405.72,OTB,NO
128,224090990,Set_longlines,23.38,74.0,294.33,LLS,NO
129,263416770,Trawlers,18.0,86.43,220.65,OTB,NO
130,227631850,Trawlers|Pots_and_traps,8.77,5.66,88.0,DRB,FPO
131,247143230,Purse_seines|Set_longlines,22.38,85.0,219.0,PS,LLS
132,256000513,Drifting_longlines|Set_longlines,20.0,45.0,372.5,LLD,LLS
133,232007030,Set_longlines,29.3,223.0,471.0,LLS,NO
134,263429640,Set_gillnets,14.65,22.75,103.0,GNS,GTR
135,220127000,Trawlers|Set_gillnets,16.6,49.9,220.0,OTB,GNS
136,219005881,Set_gillnets,9.3,6.3,53.0,GNS,NO
137,235002029,Trawlers,14.93,29.41,179.0,OTB,NO
138,224214550,Trawlers,26.3,97.11,367.92,OTB,NO
139,240496000,Set_longlines,15.85,25.0,176.0,LLS,LLS
140,224234720,Purse_seines,19.0,33.5,161.88,PS,NO
141,207822580,Trawlers|Set_gillnets,15.7,18.23,172.84,OTM,GNS
142,205262000,Trawlers,34.8,236.0,1200.0,TBB,OTB
143,238316240,Purse_seines|Trawlers,25.65,152.0,214.0,PS,OTB
144,247082520,Trawlers,27.0,114.0,397.0,OTB,NO
145,227321830,Trawlers,15.0,41.6,242.0,OTB,TBB
146,237123000,Purse_seines|Trawlers,19.5,41.0,285.22,PS,OTB
147,247141870,Trawlers|Set_gillnets,18.06,40.0,220.0,OTB,GNS
148,263509000,Trawlers,31.25,244.0,671.0,OTB,NO
149,211315630,Trawlers,22.45,101.0,221.0,TBB,OTB
150,224137940,Trawlers,26.01,107.09,364.24,OTB,NO
151,235001810,other_fishing,26.0,252.0,725.0,SSC,NO
152,246314000,Trawlers|Set_gillnets,19.86,28.0,158.0,TBB,GNS
153,244850157,Trawlers,30.68,116.0,358.0,DRB,NO
154,224078380,Trawlers,20.66,46.29,141.28,OTB,NO
155,247147630,Trawlers|Set_longlines,21.69,65.0,294.2,OTB,LLS
156,224024540,Purse_seines,17.23,39.89,239.15,PS,NO
157,247081440,Trawlers,19.27,53.0,217.0,OTB,NO
158,247149490,Trawlers,20.89,50.0,206.0,OTB,NO
159,250107700,Trawlers,22.0,94.0,450.0,OTB,OTM
160,227347000,Trawlers,32.8,283.0,588.0,OTB,OTM
161,219936000,Trawlers,19.4,85.5,213.0,OTB,NO
162,237566000,Trawlers,19.4,47.0,197.01,OTB,NO
163,247141970,Trawlers|Set_longlines,22.05,73.0,286.0,OTB,LLS
164,237418000,Trawlers,26.0,125.0,301.0,OTB,NO
165,244583000,Trawlers,114.87,6005.0,7260.0,OTM,NO
166,204266000,Set_gillnets,15.06,21.99,161.81,GNS,GTR
167,224051650,Purse_seines,24.0,75.61,220.75,PS,NO
168,211279120,Trawlers,23.89,159.0,221.0,TBB,PTB
169,247149950,Trawlers|Set_longlines,22.02,90.0,335.0,OTB,LLS
170,244010526,Set_gillnets|Pole_and_line,9.16,7.0,147.0,GNS,LHP
171,224128650,Trawlers,23.0,106.0,132.45,OTB,NO
172,247140080,Purse_seines,25.13,77.0,330.0,PS,NO
173,224295000,Drifting_longlines,24.5,187.6,367.18,LLD,NO
174,237131000,Trawlers,32.8,208.0,305.06,OTB,NO
175,247143690,Trawlers,21.8,73.0,205.9,OTB,NO
176,227593840,Trawlers,24.9,153.49,316.0,OTB,NO
177,235011319,Trawlers,43.51,315.0,744.0,DRB,NO
178,247083540,Trawlers,28.1,108.0,456.0,OTB,PTM
179,218299000,Trawlers,25.27,76.0,221.0,TBB,OTM
180,224085130,Trawlers,17.0,30.57,95.66,OTB,NO
181,218359000,Trawlers,86.33,2417.0,2863.0,OTB,OTM
182,239321000,Purse_seines,19.05,36.0,220.53,PS,NO
183,263294000,Pots_and_traps|Set_longlines,16.08,21.33,175.0,FPO,LLS
184,224389000,Trawlers,36.3,315.0,286.98,OTB,PTB
185,224110000,Drifting_longlines,25.25,203.0,220.01,LLD,NO
186,247147880,Trawlers|Set_longlines,18.9,40.0,235.0,OTB,LLS
187,244211000,Trawlers,21.06,54.0,221.0,TBB,NO
188,235020111,Pots_and_traps|other_fishing,5.9,1.25,37.3,FPO,GND
189,237993000,Purse_seines,19.95,46.0,220.53,PS,PS
190,204257000,Purse_seines|Set_gillnets,21.5,63.54,323.62,PS,GTR
191,224237650,Set_longlines,12.6,14.1,66.23,LLS,NO
192,227579000,Set_gillnets,31.85,212.0,419.0,GNS,NO
193,247094080,Trawlers,17.05,26.0,183.8,OTB,NO
194,224107760,Trawlers,17.0,45.0,135.39,OTB,NO
195,239462000,Purse_seines,16.3,20.0,106.59,PS,PS
196,239055000,Purse_seines,24.3,103.0,220.53,PS,NO
197,26103770,Set_longlines|Set_gillnets,17.26,36.0,121.0,LLS,GNS
198,219013538,Trawlers,23.95,210.0,298.0,OTB,NO
199,224074680,Trawlers,20.98,64.02,232.52,OTB,NO
200,240724000,Purse_seines|Set_gillnets,19.9,27.0,147.0,PS,GNS
201,224052260,Trawlers,17.5,37.99,117.73,OTB,NO
202,240314000,Trawlers,33.2,252.0,183.75,OTB,NO
203,224000240,Set_longlines|Pots_and_traps,33.0,162.0,640.18,LLS,FPO
204,238655940,Trawlers|Purse_seines,17.3,24.97,220.0,OTB,PS
205,250101700,Trawlers,37.3,469.0,1119.0,OTB,PTM
206,247118040,Purse_seines,19.2,38.0,316.17,PS,NO
207,265651066,Pots_and_traps,10.4,11.69,102.94,FPO,FPO
208,235001766,Trawlers,19.81,76.0,317.0,OTB,NO
209,235001860,other_fishing,24.41,201.0,500.0,SSC,NO
210,250003127,Trawlers,23.99,206.0,480.0,OTB,NO
211,247122240,Trawlers|Set_longlines,17.84,29.0,294.0,OTB,LLS
212,247030330,Trawlers,17.68,34.0,235.0,OTB,PTM
213,232005890,Trawlers,26.15,135.0,611.0,TBB,NO
214,261008030,Trawlers|Drifting_longlines,18.99,39.0,265.0,OTB,LLD
215,261001410,Trawlers,17.29,38.0,121.0,OTB,PTB
216,211245680,Trawlers,20.87,65.0,221.0,TBB,OTB
217,235005319,Trawlers,19.96,56.0,249.0,OTB,NO
218,211415000,Trawlers,19.33,48.0,221.0,TBB,OTB
219,211484000,Trawlers,17.09,32.0,191.0,TBB,OTB
220,227569380,Trawlers|Set_longlines,9.5,10.6,106.0,DRB,LLS
221,224054990,Trawlers,23.0,70.27,301.69,OTB,NO
222,224097970,Trawlers,31.62,291.0,367.92,OTB,NO
223,224032730,Trawlers,21.54,68.75,268.58,OTB,NO
224,247145470,Trawlers,20.51,54.0,283.0,OTB,NO
225,224896000,Purse_seines,32.5,177.0,316.41,PS,NO
226,225341000,Set_longlines|Set_gillnets,35.4,399.0,397.35,LLS,GNS
227,247030820,Purse_seines|Set_longlines,18.4,39.0,287.0,PS,LLS
228,219002051,Trawlers|Set_gillnets,14.8,30.1,211.0,OTB,GNS
229,239188000,Drifting_longlines|Set_longlines,18.5,36.0,117.62,LLD,LLS
230,247280830,Purse_seines|other_fishing,15.95,25.0,117.64,PS,GND
231,244742000,Trawlers,23.97,86.0,221.0,OTT,TBB
232,237615000,Trawlers,23.65,29.39,367.0,OTB,NO
233,263414760,Trawlers,32.0,260.0,670.7,OTB,NO
234,224020220,Trawlers,18.9,45.11,198.68,OTB,NO
235,239233000,Drifting_longlines|Set_longlines,19.3,52.0,110.27,LLD,LLS
236,224047990,Drifting_longlines,28.0,236.3,348.05,LLD,NO
237,239296000,Purse_seines,18.7,36.0,95.56,PS,NO
238,247114040,Trawlers|Set_longlines,23.6,69.0,638.0,OTB,LLS
239,265666680,Trawlers,12.48,17.0,191.0,OTB,OTB
240,226198000,Trawlers,15.36,47.43,258.0,OTB,DRB
241,211411940,Trawlers,18.5,36.0,221.0,TBB,OTB
242,245795000,Trawlers,23.95,94.0,221.0,TBB,OTB
243,227577000,Set_gillnets,22.09,131.09,323.0,GNS,GTR
244,219014276,Trawlers,24.85,140.7,350.0,OTB,NO
245,232008020,Trawlers,40.2,667.0,1880.0,OTB,NO
246,247144580,Trawlers,37.99,251.0,644.0,OTB,NO
247,224233730,Trawlers,17.92,34.48,51.51,OTB,NO
248,277510000,Trawlers,120.0,7765.0,5296.0,OTM,NO
249,219005776,Set_gillnets,12.9,11.2,93.0,GNS,NO
250,245914000,Trawlers,22.72,78.0,221.0,TBB,OTT
251,227599000,Trawlers|other_fishing,22.0,132.8,456.0,PTM,SSC
252,237613000,Trawlers|Purse_seines,28.28,128.0,330.5,OTB,PS
253,238366440,Purse_seines,23.71,118.65,405.0,PS,NO
254,210460000,Drifting_longlines,26.5,108.0,220.0,LLD,NO
255,244718000,Trawlers,40.85,317.0,882.0,DRB,NO
256,237553000,Purse_seines|Set_gillnets,16.5,19.0,197.01,PS,GTR
257,224079000,Trawlers,53.85,942.2,1246.5,OTB,PTB
258,238016640,Purse_seines|Trawlers,19.47,37.51,162.0,PS,OTB
259,220383000,Trawlers,16.01,43.3,198.0,TBB,OTB
260,266095000,Trawlers,17.94,74.0,373.0,OTB,NO
261,211259270,Trawlers,14.97,34.0,221.0,OTB,PTM
262,235050365,Trawlers,13.4,27.66,149.0,OTB,OTT
263,261006940,Trawlers|Drifting_longlines,17.37,29.0,121.0,OTB,LLD
264,227301110,Pots_and_traps|Set_gillnets,17.0,33.0,352.0,FPO,GTR
265,219005867,Trawlers,13.3,27.5,235.0,OTB,NO
266,235003110,Trawlers,23.71,227.0,485.0,OTT,NO
267,235002470,Trawlers,16.7,106.0,363.0,OTB,NO
268,245352000,Trawlers,23.7,75.0,221.0,TBB,OTB
269,237918000,Trawlers|Purse_seines,28.0,112.0,367.64,OTB,PS
270,224020060,Set_longlines|Pots_and_traps,21.5,82.09,128.77,LLS,FPO
271,261005180,Set_gillnets|Set_longlines,17.58,40.0,121.0,GNS,LLS
272,227317370,Set_gillnets,11.34,9.14,147.0,GTR,GNS
273,235037363,Trawlers,16.76,65.82,238.0,OTB,NO
274,244750560,Trawlers,29.1,130.0,320.0,DRB,HMD
275,261003970,Trawlers,20.97,79.0,227.0,OTB,OTM
276,211319670,Trawlers,23.9,113.0,221.0,TBB,OTB
277,247301700,Trawlers,27.15,99.0,312.0,OTB,NO
278,224135000,Drifting_longlines,33.85,266.0,309.05,LLD,NO
279,247071910,Trawlers|Set_longlines,17.8,41.0,219.0,OTB,LLS
280,247100530,Trawlers,23.8,100.0,335.0,OTB,NO
281,227106400,Trawlers,23.76,163.83,442.0,OTB,OTM
282,224073630,Purse_seines,19.25,56.33,151.58,PS,NO
283,224098790,Trawlers,26.2,138.58,367.92,OTB,NO
284,211699000,Trawlers,24.69,107.0,221.0,TBB,OTB
285,239213000,Purse_seines,19.45,34.0,154.37,PS,NO
286,247071930,Trawlers,26.45,125.0,346.0,OTB,PTM
287,237959000,Purse_seines,19.5,39.0,140.0,PS,NO
288,247102730,Trawlers,20.47,41.0,324.0,OTB,NO
289,224043770,Trawlers,23.37,70.04,323.77,OTB,NO
290,232007390,Trawlers,29.1,215.0,675.13,OTB,NO
291,227322630,Set_gillnets,11.91,18.36,162.0,GNS,GTR
292,220323000,Trawlers,16.0,58.0,294.0,OTB,NO
293,227574760,Set_gillnets,11.18,7.14,156.0,GNS,GTR
294,247080910,Trawlers,21.3,62.0,366.18,OTB,NO
295,247051740,Trawlers,23.56,87.0,441.0,OTB,PTM
296,263413350,Trawlers,17.7,99.33,335.56,OTB,NO
297,247092310,Trawlers|Set_longlines,21.14,52.0,323.0,OTB,LLS
298,265646610,Set_gillnets,10.7,9.66,84.56,GNS,GNS
299,227146300,Purse_seines,32.0,202.0,516.0,PS,NO
300,224150820,Purse_seines,17.5,26.05,108.17,PS,NO
301,247076150,Trawlers|Set_gillnets,15.54,31.0,110.3,OTB,GNS
302,247142340,Trawlers,23.07,85.0,302.0,OTB,NO
303,277442000,Trawlers,38.57,668.0,1626.0,OTB,OTM
304,224011990,Set_longlines|Set_gillnets,31.0,268.0,408.23,LLS,GNS
305,207422000,Trawlers,25.5,117.36,220.65,OTM,OTM
306,263500304,Set_gillnets,15.0,21.64,137.95,GNS,GTR
307,207824680,Trawlers|Set_gillnets,17.23,36.32,132.32,OTM,GNS
308,224014550,Trawlers,23.43,70.73,353.2,OTB,NO
309,233860000,Trawlers,25.9,213.0,511.0,PTB,NO
310,250000884,Trawlers,22.4,174.0,440.0,OTM,OTB
311,204813000,Drifting_longlines|Set_longlines,28.0,215.0,368.0,LLD,LLS
312,265687420,Set_gillnets|Pole_and_line,9.65,5.05,52.94,GNS,LHP
313,227318170,Trawlers,14.76,38.06,155.0,OTT,NO
314,227393000,Trawlers,24.9,157.89,441.0,OTT,PTM
315,219018405,Trawlers|Set_gillnets,9.99,12.0,130.0,OTB,GNS
316,247081340,Purse_seines|Set_longlines,19.45,60.0,160.0,PS,LLS
317,247122250,Trawlers|Set_longlines,18.95,38.0,294.0,OTB,LLS
318,247150350,Set_longlines|other_fishing,20.0,71.0,442.0,LLS,GND
319,266101000,Trawlers,39.85,352.0,746.0,OTB,OTM
320,247044920,Trawlers|Set_longlines,16.45,20.0,132.35,OTB,LLS
321,275414000,Trawlers,24.4,137.0,478.0,OTM,OTB
322,247121250,Trawlers,27.24,100.0,250.0,OTB,NO
323,219922000,Set_gillnets,22.75,156.3,280.0,GNS,GNS
324,226216000,Trawlers,21.5,138.9,442.0,OTB,OTM
325,245954000,Trawlers,20.44,29.0,100.0,TBB,NO
326,265749580,Trawlers,11.84,20.65,183.82,OTB,NO
327,261018440,Trawlers|Set_longlines,13.86,32.26,121.0,OTB,LLS
328,204209570,Pole_and_line|other_fishing,25.0,148.42,221.0,LHP,LNB
329,224101860,Purse_seines,27.55,118.33,250.18,PS,NO
330,265708380,Pots_and_traps,8.25,3.15,147.06,FPO,FPO
331,263408670,Purse_seines,24.5,63.8,252.0,PS,NO
332,247155630,Trawlers|Set_longlines,22.4,67.0,125.0,OTB,LLS
333,263307000,Set_gillnets,17.3,30.92,178.97,GNS,GTR
334,205240000,other_fishing|Trawlers,38.22,384.0,1200.0,SSC,OTB
335,265752900,Pots_and_traps|other_fishing,8.81,4.86,183.87,FPO,GND
336,224189550,Set_gillnets,14.95,22.53,110.38,GNS,NO
337,263419290,Set_longlines|Purse_seines,18.35,43.96,176.5,LLS,PS
338,219005583,Trawlers,18.22,39.0,300.0,OTB,OTM
339,247120170,Trawlers,21.7,101.0,501.0,OTB,NO
340,224125630,Trawlers,24.05,84.65,187.64,OTB,NO
341,211176000,Trawlers,17.0,46.0,221.0,TBB,OTB
342,227316070,Trawlers|Pots_and_traps,11.0,13.5,150.0,DRB,FPO
343,227397000,Trawlers,23.95,152.05,470.0,OTT,OTB
344,261001620,Trawlers,25.68,135.0,420.0,OTM,OTB
345,247113970,Trawlers,20.14,52.0,294.0,OTB,NO
346,227327000,Trawlers,23.5,142.69,442.0,OTB,OTT
347,261007860,Set_gillnets|Drifting_longlines,18.54,39.0,247.0,GNS,LLD
348,237958000,Purse_seines,25.3,116.03,176.42,PS,PS
349,247151280,Trawlers|Set_longlines,24.28,130.0,338.0,OTB,LLS
350,247130850,Trawlers|Set_longlines,22.0,67.0,214.7,OTB,LLS
351,235005150,Set_gillnets,18.02,130.0,357.0,GNS,NO
352,233344000,Trawlers,27.0,269.0,514.0,PTB,NO
353,227323170,Set_gillnets,15.4,27.0,400.0,GTR,NO
354,247081990,Trawlers,16.0,30.0,161.8,OTB,NO
355,247125580,Trawlers,17.04,31.0,144.0,OTB,PTM
356,247145580,Trawlers|Set_gillnets,17.09,26.0,161.0,OTB,GNS
357,224004950,Trawlers,29.99,230.0,515.08,OTB,PTB
358,227628730,Trawlers|Pots_and_traps,9.39,7.31,60.0,DRB,FPO
359,235081915,Pots_and_traps|Set_gillnets,9.23,6.3,94.0,FPO,GNS
360,247110770,Trawlers|Set_gillnets,20.25,32.0,220.6,OTB,GNS
361,247030620,Trawlers|Purse_seines,16.4,29.0,220.0,OTB,PS
362,211314600,Trawlers,16.65,38.0,221.0,TBB,NO
363,224168000,Trawlers,30.1,243.0,451.07,OTB,PTB
364,211651620,Trawlers,17.17,34.0,221.0,TBB,OTB
365,211182000,Trawlers,16.01,37.0,221.0,TBB,OTB
366,247050480,Trawlers,20.23,51.0,323.6,OTB,NO
367,211532000,Trawlers,17.51,37.0,221.0,TBB,OTB
368,238984610,Trawlers,21.4,65.0,242.0,OTB,NO
369,227321290,Set_longlines|Trawlers,14.2,35.95,220.0,LLS,OTB
370,247142520,Set_longlines|other_fishing,14.96,23.0,150.0,LLS,GND
371,247051930,Trawlers|Purse_seines,20.98,98.0,634.0,OTB,PS
372,224030940,Set_gillnets,25.0,166.37,232.52,GNS,NO
373,224696000,Drifting_longlines,39.35,517.0,465.05,LLD,NO
374,224164540,Trawlers,27.0,117.16,367.92,OTB,NO
375,235001680,Trawlers,18.42,97.0,373.0,OTB,NO
376,266306000,Trawlers,21.44,120.0,404.0,OTB,OTB
377,226005000,Pots_and_traps,21.83,117.0,373.0,FPO,NO
378,238281140,Purse_seines|Trawlers,26.9,122.0,403.0,PS,OTB
379,232006830,Set_longlines,38.25,390.0,741.0,LLS,NO
380,247146270,Trawlers,28.86,188.0,293.0,OTB,NO
381,263415250,Set_gillnets,10.5,8.19,79.43,GNS,GTR
382,219007234,Trawlers,14.99,26.2,125.0,OTB,NO
383,224101980,Purse_seines,23.45,91.38,264.9,PS,NO
384,245336000,Trawlers,35.93,168.0,537.0,DRB,NO
385,235011710,Trawlers,26.24,121.0,441.0,DRB,NO
386,263408560,Purse_seines,19.68,35.86,223.71,PS,NO
387,239098000,Purse_seines|Set_gillnets,19.05,39.0,110.27,PS,GNS
388,227109900,Trawlers,16.56,64.6,316.0,OTB,OTM
389,247281540,Trawlers|Purse_seines,25.52,107.0,514.7,OTB,PS
390,219007432,Trawlers|Set_gillnets,11.9,15.4,118.0,OTB,GNS
391,227563620,Set_gillnets|Pots_and_traps,11.96,8.6,162.0,GTR,FPO
392,247100690,Trawlers|Set_longlines,19.8,85.0,294.1,OTB,LLS
393,240707000,Trawlers,22.0,44.0,305.07,OTB,OTB
394,239330000,Trawlers,27.9,130.0,220.0,OTB,NO
395,275448000,Pots_and_traps|unknown_fishing,56.39,704.0,736.0,FPO,NK
396,250101800,Trawlers,23.0,177.0,320.0,OTB,OTM
397,247302720,Purse_seines|Set_longlines,21.63,65.0,368.0,PS,LLS
398,237343000,Trawlers,25.25,75.0,367.0,OTB,NO
399,238791540,Trawlers,19.35,54.0,206.0,OTB,NO
400,247081720,Trawlers,17.25,55.0,257.4,OTB,PTM
401,247145510,Trawlers,32.79,181.0,736.0,OTB,NO
402,247072380,Trawlers,18.32,39.0,280.0,OTB,PTM
403,265586020,Trawlers,11.99,32.0,294.12,OTB,OTB
404,235105753,Pots_and_traps,17.07,46.0,298.0,FPO,NO
405,244610000,Trawlers,19.58,36.0,169.0,TBB,NO
406,224082360,Trawlers,21.04,49.49,66.23,OTB,NO
407,219006824,Trawlers,15.76,40.7,257.0,OTB,NO
408,261010250,Trawlers,23.23,113.0,228.0,OTB,OTM
