mmsi,geartype,secondary geartype,length,tonnage,country
100702606,Fishing vessel,Fishing vessel,,,
100702670,Fishing vessel,Fishing vessel,,,
100702679,Fishing vessel,Fishing vessel,,,
100702825,Fishing vessel,Fishing vessel,,,
100702921,Fishing vessel,Fishing vessel,,,
100703127,Fishing vessel,Fishing vessel,,,
100703173,Fishing vessel,Fishing vessel,,,
100704186,Fishing vessel,Fishing vessel,,,
100704617,Fishing vessel,Fishing vessel,,,
100704653,Fishing vessel,Fishing vessel,,,
100705211,Fishing vessel,Fishing vessel,,,
100705277,Fishing vessel,Fishing vessel,,,
100705669,Fishing vessel,Fishing vessel,,,
100705859,Fishing vessel,Fishing vessel,,,
100705863,Fishing vessel,Fishing vessel,,,
100706178,Fishing vessel,Fishing vessel,,,
100706185,Fishing vessel,Fishing vessel,,,
100706198,Fishing vessel,Fishing vessel,,,
100706558,Fishing vessel,Fishing vessel,,,
100710265,Fishing vessel,Fishing vessel,,,
100714050,Fishing vessel,Fishing vessel,,,
100800276,Fishing vessel,Fishing vessel,,,
100880405,Fishing vessel,Fishing vessel,,,
100881741,Fishing vessel,Fishing vessel,,,
100882984,Fishing vessel,Fishing vessel,,,
100900001,Fishing vessel,Fishing vessel,,,
100900051,Fishing vessel,Fishing vessel,,,
101306007,Fishing vessel,Fishing vessel,,,
101306353,Fishing vessel,Fishing vessel,,,
101306904,Fishing vessel,Fishing vessel,,,
101307017,Fishing vessel,Fishing vessel,,,
101307108,Fishing vessel,Fishing vessel,,,
101307455,Fishing vessel,Fishing vessel,,,
101406487,Fishing vessel,Fishing vessel,,,
101406542,Fishing vessel,Fishing vessel,,,
101406573,Fishing vessel,Fishing vessel,,,
101406580,Fishing vessel,Fishing vessel,,,
101406838,Fishing vessel,Fishing vessel,,,
101406858,Fishing vessel,Fishing vessel,,,
101406888,Fishing vessel,Fishing vessel,,,
101406961,Fishing vessel,Fishing vessel,,,
101406962,Fishing vessel,Fishing vessel,,,
101407346,Fishing vessel,Fishing vessel,,,
101407875,Fishing vessel,Fishing vessel,,,
101408351,Fishing vessel,Fishing vessel,,,
101408390,Fishing vessel,Fishing vessel,,,
101500705,Fishing vessel,Fishing vessel,,,
101843,Fishing vessel,Fishing vessel,,,
10201,Fishing vessel,Fishing vessel,,,
10223,Fishing vessel,Fishing vessel,,,
103298888,Fishing vessel,Fishing vessel,,,
10421670,Fishing vessel,Fishing vessel,,,
104700852,Fishing vessel,Fishing vessel,,,
109865198,Fishing vessel,Fishing vessel,,,
110040625,Fishing vessel,Fishing vessel,,,
110200436,Fishing vessel,Fishing vessel,,,
110300041,Fishing vessel,Fishing vessel,,,
110300228,Fishing vessel,Fishing vessel,,,
110300248,Fishing vessel,Fishing vessel,,,
110300259,Fishing vessel,Fishing vessel,,,
110300578,Fishing vessel,Fishing vessel,,,
110308888,Fishing vessel,Fishing vessel,,,
110700014,Fishing vessel,Fishing vessel,,,
110700044,Fishing vessel,Fishing vessel,,,
110700123,Fishing vessel,Fishing vessel,,,
110700329,Fishing vessel,Fishing vessel,,,
110700770,Fishing vessel,Fishing vessel,,,
110700852,Fishing vessel,Fishing vessel,,,
110700873,Fishing vessel,Fishing vessel,,,
110700881,Fishing vessel,Fishing vessel,,,
110700917,Fishing vessel,Fishing vessel,,,
110700972,Fishing vessel,Fishing vessel,,,
110700977,Fishing vessel,Fishing vessel,,,
110702817,Fishing vessel,Fishing vessel,,,
110703107,Fishing vessel,Fishing vessel,,,
110703120,Fishing vessel,Fishing vessel,,,
110703143,Fishing vessel,Fishing vessel,,,
110703147,Fishing vessel,Fishing vessel,,,
110703359,Fishing vessel,Fishing vessel,,,
110705296,Fishing vessel,Fishing vessel,,,
110705682,Fishing vessel,Fishing vessel,,,
110705748,Fishing vessel,Fishing vessel,,,
110705761,Fishing vessel,Fishing vessel,,,
110705896,Fishing vessel,Fishing vessel,,,
110706289,Fishing vessel,Fishing vessel,,,
110706446,Fishing vessel,Fishing vessel,,,
110706456,Fishing vessel,Fishing vessel,,,
110706492,Fishing vessel,Fishing vessel,,,
110706763,Fishing vessel,Fishing vessel,,,
110706766,Fishing vessel,Fishing vessel,,,
110706798,Fishing vessel,Fishing vessel,,,
110706891,Fishing vessel,Fishing vessel,,,
110722,Fishing vessel,Fishing vessel,,,
110766666,Fishing vessel,Fishing vessel,,,
110767890,Fishing vessel,Fishing vessel,,,
110777777,Fishing vessel,Fishing vessel,,,
110785555,Fishing vessel,Fishing vessel,,,
110798998,Fishing vessel,Fishing vessel,,,
110898998,Fishing vessel,Fishing vessel,,,
110982229,Fishing vessel,Fishing vessel,,,
110988000,Fishing vessel,Fishing vessel,,,
111005141,Fishing vessel,Fishing vessel,,,
111100000,Reefer,Reefer,,,
111111118,Fishing vessel,Fishing vessel,,,
111111188,Fishing vessel,Fishing vessel,,,
11118,Fishing vessel,Fishing vessel,,,
111189,Fishing vessel,Fishing vessel,,,
111203371,Fishing vessel,Fishing vessel,,,
111203412,Fishing vessel,Fishing vessel,,,
111203548,Fishing vessel,Fishing vessel,,,
111203873,Fishing vessel,Fishing vessel,,,
111203949,Fishing vessel,Fishing vessel,,,
111206315,Fishing vessel,Fishing vessel,,,
11121,Fishing vessel,Fishing vessel,,,
111357575,Fishing vessel,Fishing vessel,,,
11158,Fishing vessel,Fishing vessel,,,
111888666,Fishing vessel,Fishing vessel,,,
112461278,Fishing vessel,Fishing vessel,,,
112925432,Fishing vessel,Fishing vessel,,,
11311,Fishing vessel,Fishing vessel,,,
113333333,Fishing vessel,Fishing vessel,,,
11346,Fishing vessel,Fishing vessel,,,
115677890,Fishing vessel,Fishing vessel,,,
115678989,Fishing vessel,Fishing vessel,,,
115678999,Fishing vessel,Fishing vessel,,,
116788667,Fishing vessel,Fishing vessel,,,
1172,Fishing vessel,Fishing vessel,,,
11723,Fishing vessel,Fishing vessel,,,
117897897,Fishing vessel,Fishing vessel,,,
117897898,Fishing vessel,Fishing vessel,,,
12,Fishing vessel,Fishing vessel,,,
120400154,Fishing vessel,Fishing vessel,,,
120413790,Fishing vessel,Fishing vessel,,,
120700522,Fishing vessel,Fishing vessel,,,
120701454,Fishing vessel,Fishing vessel,,,
120703221,Fishing vessel,Fishing vessel,,,
120788999,Fishing vessel,Fishing vessel,,,
121000287,Fishing vessel,Fishing vessel,,,
121001428,Fishing vessel,Fishing vessel,,,
122222286,Fishing vessel,Fishing vessel,,,
122332223,Fishing vessel,Fishing vessel,,,
122408213,Fishing vessel,Fishing vessel,,,
12270,Fishing vessel,Fishing vessel,,,
123088888,Fishing vessel,Fishing vessel,,,
123134026,Fishing vessel,Fishing vessel,,,
123403001,Fishing vessel,Fishing vessel,,,
123450020,Fishing vessel,Fishing vessel,,,
123456765,Fishing vessel,Fishing vessel,,,
123456787,Fishing vessel,Fishing vessel,,,
123456798,Fishing vessel,Fishing vessel,,,
12347,Fishing vessel,Fishing vessel,,,
12348,Fishing vessel,Fishing vessel,,,
123678568,Fishing vessel,Fishing vessel,,,
123789888,Fishing vessel,Fishing vessel,,,
123842988,Fishing vessel,Fishing vessel,,,
123898989,Fishing vessel,Fishing vessel,,,
12432,Fishing vessel,Fishing vessel,,,
124345678,Fishing vessel,Fishing vessel,,,
1253,Fishing vessel,Fishing vessel,,,
125588837,Fishing vessel,Fishing vessel,,,
1266,Fishing vessel,Fishing vessel,,,
129870987,Fishing vessel,Fishing vessel,,,
130400805,Fishing vessel,Fishing vessel,,,
130400806,Fishing vessel,Fishing vessel,,,
130400920,Fishing vessel,Fishing vessel,,,
13060,Fishing vessel,Fishing vessel,,,
130660453,Fishing vessel,Fishing vessel,,,
130700215,Fishing vessel,Fishing vessel,,,
130700221,Fishing vessel,Fishing vessel,,,
130700433,Fishing vessel,Fishing vessel,,,
130700536,Fishing vessel,Fishing vessel,,,
130700549,Fishing vessel,Fishing vessel,,,
130700551,Fishing vessel,Fishing vessel,,,
130700705,Fishing vessel,Fishing vessel,,,
130701733,Fishing vessel,Fishing vessel,,,
130701836,Fishing vessel,Fishing vessel,,,
130702005,Fishing vessel,Fishing vessel,,,
13104,Fishing vessel,Fishing vessel,,,
138550555,Fishing vessel,Fishing vessel,,,
139766666,Fishing vessel,Fishing vessel,,,
139797823,Fishing vessel,Fishing vessel,,,
140000055,Fishing vessel,Fishing vessel,,,
140000111,Fishing vessel,Fishing vessel,,,
140100081,Fishing vessel,Fishing vessel,,,
140100083,Fishing vessel,Fishing vessel,,,
140400479,Fishing vessel,Fishing vessel,,,
140400613,Fishing vessel,Fishing vessel,,,
140401040,Fishing vessel,Fishing vessel,,,
140402427,Fishing vessel,Fishing vessel,,,
140700857,Fishing vessel,Fishing vessel,,,
140701193,Fishing vessel,Fishing vessel,,,
140701544,Fishing vessel,Fishing vessel,,,
140703185,Fishing vessel,Fishing vessel,,,
141000257,Fishing vessel,Fishing vessel,,,
141000258,Fishing vessel,Fishing vessel,,,
141000479,Fishing vessel,Fishing vessel,,,
141150000,Fishing vessel,Fishing vessel,,,
1425,Fishing vessel,Fishing vessel,,,
14334,Fishing vessel,Fishing vessel,,,
1458,Fishing vessel,Fishing vessel,,,
146003620,Fishing vessel,Fishing vessel,,,
147899211,Fishing vessel,Fishing vessel,,,
150000285,Fishing vessel,Fishing vessel,,,
150048,Fishing vessel,Fishing vessel,,,
150200002,Fishing vessel,Fishing vessel,,,
150200046,Fishing vessel,Fishing vessel,,,
150200411,Fishing vessel,Fishing vessel,,,
150200946,Fishing vessel,Fishing vessel,,,
150200950,Fishing vessel,Fishing vessel,,,
150200990,Fishing vessel,Fishing vessel,,,
150201048,Fishing vessel,Fishing vessel,,,
150201178,Fishing vessel,Fishing vessel,,,
150201328,Fishing vessel,Fishing vessel,,,
150201349,Fishing vessel,Fishing vessel,,,
150201499,Fishing vessel,Fishing vessel,,,
150201655,Fishing vessel,Fishing vessel,,,
150201770,Fishing vessel,Fishing vessel,,,
150201840,Fishing vessel,Fishing vessel,,,
150202027,Fishing vessel,Fishing vessel,,,
150202239,Fishing vessel,Fishing vessel,,,
150202679,Fishing vessel,Fishing vessel,,,
150202737,Fishing vessel,Fishing vessel,,,
150202800,Fishing vessel,Fishing vessel,,,
150202868,Fishing vessel,Fishing vessel,,,
150202986,Fishing vessel,Fishing vessel,,,
150203054,Fishing vessel,Fishing vessel,,,
150203126,Fishing vessel,Fishing vessel,,,
150203127,Fishing vessel,Fishing vessel,,,
150203222,Fishing vessel,Fishing vessel,,,
150203388,Fishing vessel,Fishing vessel,,,
150203451,Fishing vessel,Fishing vessel,,,
150203465,Fishing vessel,Fishing vessel,,,
150203486,Fishing vessel,Fishing vessel,,,
150203522,Fishing vessel,Fishing vessel,,,
150203644,Fishing vessel,Fishing vessel,,,
150203680,Fishing vessel,Fishing vessel,,,
150203711,Fishing vessel,Fishing vessel,,,
150203712,Fishing vessel,Fishing vessel,,,
150203713,Fishing vessel,Fishing vessel,,,
150203733,Fishing vessel,Fishing vessel,,,
150203795,Fishing vessel,Fishing vessel,,,
150203821,Fishing vessel,Fishing vessel,,,
150203823,Fishing vessel,Fishing vessel,,,
150203887,Fishing vessel,Fishing vessel,,,
150203930,Fishing vessel,Fishing vessel,,,
150203937,Fishing vessel,Fishing vessel,,,
150203941,Fishing vessel,Fishing vessel,,,
150203945,Fishing vessel,Fishing vessel,,,
150204014,Fishing vessel,Fishing vessel,,,
150204085,Fishing vessel,Fishing vessel,,,
150204090,Fishing vessel,Fishing vessel,,,
150204240,Fishing vessel,Fishing vessel,,,
150204249,Fishing vessel,Fishing vessel,,,
150204368,Fishing vessel,Fishing vessel,,,
150204375,Fishing vessel,Fishing vessel,,,
150204402,Fishing vessel,Fishing vessel,,,
150204414,Fishing vessel,Fishing vessel,,,
150204443,Fishing vessel,Fishing vessel,,,
150204460,Fishing vessel,Fishing vessel,,,
150204461,Fishing vessel,Fishing vessel,,,
150204659,Fishing vessel,Fishing vessel,,,
150204662,Fishing vessel,Fishing vessel,,,
150205008,Fishing vessel,Fishing vessel,,,
150205010,Fishing vessel,Fishing vessel,,,
150205019,Fishing vessel,Fishing vessel,,,
150205022,Fishing vessel,Fishing vessel,,,
150206007,Fishing vessel,Fishing vessel,,,
152123456,Fishing vessel,Fishing vessel,,,
156789789,Fishing vessel,Fishing vessel,,,
157,Fishing vessel,Fishing vessel,,,
16,Fishing vessel,Fishing vessel,,,
16560,Fishing vessel,Fishing vessel,,,
168162803,Fishing vessel,Fishing vessel,,,
1712,Fishing vessel,Fishing vessel,,,
1720,Fishing vessel,Fishing vessel,,,
17718,Fishing vessel,Fishing vessel,,,
178978898,Fishing vessel,Fishing vessel,,,
180779680,Fishing vessel,Fishing vessel,,,
1811,Fishing vessel,Fishing vessel,,,
18291,Fishing vessel,Fishing vessel,,,
183051663,Fishing vessel,Fishing vessel,,,
188978989,Fishing vessel,Fishing vessel,,,
190700899,Fishing vessel,Fishing vessel,,,
190701084,Fishing vessel,Fishing vessel,,,
190701091,Fishing vessel,Fishing vessel,,,
190701094,Fishing vessel,Fishing vessel,,,
190701095,Fishing vessel,Fishing vessel,,,
190701129,Fishing vessel,Fishing vessel,,,
191283710,Fishing vessel,Fishing vessel,,,
199910031,Fishing vessel,Fishing vessel,,,
200000006,Fishing vessel,Fishing vessel,,,
200000012,Fishing vessel,Fishing vessel,,,
200000029,Fishing vessel,Fishing vessel,,,
200000051,Fishing vessel,Fishing vessel,,,
200000054,Fishing vessel,Fishing vessel,,,
200000088,Fishing vessel,Fishing vessel,,,
200000132,Fishing vessel,Fishing vessel,,,
200000160,Fishing vessel,Fishing vessel,,,
200000168,Fishing vessel,Fishing vessel,,,
200000198,Fishing vessel,Fishing vessel,,,
200000226,Fishing vessel,Fishing vessel,,,
200000235,Fishing vessel,Fishing vessel,,,
200000247,Fishing vessel,Fishing vessel,,,
200000256,Fishing vessel,Fishing vessel,,,
200000265,Fishing vessel,Fishing vessel,,,
200000268,Fishing vessel,Fishing vessel,,,
200000288,Fishing vessel,Fishing vessel,,,
200000310,Fishing vessel,Fishing vessel,,,
200000319,Fishing vessel,Fishing vessel,,,
200000329,Fishing vessel,Fishing vessel,,,
200000347,Fishing vessel,Fishing vessel,,,
200000350,Fishing vessel,Fishing vessel,,,
200000351,Fishing vessel,Fishing vessel,,,
200000360,Fishing vessel,Fishing vessel,,,
200000386,Fishing vessel,Fishing vessel,,,
200000429,Fishing vessel,Fishing vessel,,,
200000503,Fishing vessel,Fishing vessel,,,
200000537,Fishing vessel,Fishing vessel,,,
200000556,Fishing vessel,Fishing vessel,,,
200000581,Fishing vessel,Fishing vessel,,,
200000583,Fishing vessel,Fishing vessel,,,
200000584,Fishing vessel,Fishing vessel,,,
200000596,Fishing vessel,Fishing vessel,,,
200000661,Fishing vessel,Fishing vessel,,,
200000676,Fishing vessel,Fishing vessel,,,
200000706,Fishing vessel,Fishing vessel,,,
200000761,Fishing vessel,Fishing vessel,,,
200000795,Fishing vessel,Fishing vessel,,,
200000816,Fishing vessel,Fishing vessel,,,
200000819,Fishing vessel,Fishing vessel,,,
200000901,Fishing vessel,Fishing vessel,,,
200000929,Fishing vessel,Fishing vessel,,,
200000938,Fishing vessel,Fishing vessel,,,
200000953,Fishing vessel,Fishing vessel,,,
200000975,Fishing vessel,Fishing vessel,,,
200001019,Fishing vessel,Fishing vessel,,,
200001025,Fishing vessel,Fishing vessel,,,
200001034,Fishing vessel,Fishing vessel,,,
200001061,Fishing vessel,Fishing vessel,,,
200001068,Fishing vessel,Fishing vessel,,,
200001069,Fishing vessel,Fishing vessel,,,
200001105,Fishing vessel,Fishing vessel,,,
200001140,Reefer,Reefer,,,
200001162,Fishing vessel,Fishing vessel,,,
200001215,Fishing vessel,Fishing vessel,,,
200001245,Fishing vessel,Fishing vessel,,,
200001386,Fishing vessel,Fishing vessel,,,
200001397,Fishing vessel,Fishing vessel,,,
200001503,Fishing vessel,Fishing vessel,,,
200001557,Fishing vessel,Fishing vessel,,,
200001611,Fishing vessel,Fishing vessel,,,
200001631,Fishing vessel,Fishing vessel,,,
200001671,Fishing vessel,Fishing vessel,,,
200001773,Fishing vessel,Fishing vessel,,,
200001811,Fishing vessel,Fishing vessel,,,
200001879,Fishing vessel,Fishing vessel,,,
200001886,Fishing vessel,Fishing vessel,,,
200001892,Fishing vessel,Fishing vessel,,,
200001903,Fishing vessel,Fishing vessel,,,
200002021,Fishing vessel,Fishing vessel,,,
200002043,Fishing vessel,Fishing vessel,,,
200002055,Fishing vessel,Fishing vessel,,,
200002096,Fishing vessel,Fishing vessel,,,
200002110,Fishing vessel,Fishing vessel,,,
200002118,Fishing vessel,Fishing vessel,,,
200002128,Fishing vessel,Fishing vessel,,,
200002143,Fishing vessel,Fishing vessel,,,
200002170,Fishing vessel,Fishing vessel,,,
200002222,Fishing vessel,Fishing vessel,,,
200002374,Fishing vessel,Fishing vessel,,,
200002378,Fishing vessel,Fishing vessel,,,
200002406,Fishing vessel,Fishing vessel,,,
200002410,Fishing vessel,Fishing vessel,,,
200002465,Fishing vessel,Fishing vessel,,,
200002575,Fishing vessel,Fishing vessel,,,
200002607,Fishing vessel,Fishing vessel,,,
200002626,Fishing vessel,Fishing vessel,,,
200002804,Fishing vessel,Fishing vessel,,,
200002818,Fishing vessel,Fishing vessel,,,
200002860,Fishing vessel,Fishing vessel,,,
200002870,Fishing vessel,Fishing vessel,,,
200002888,Fishing vessel,Fishing vessel,,,
200002898,Fishing vessel,Fishing vessel,,,
200002924,Fishing vessel,Fishing vessel,,,
200002938,Fishing vessel,Fishing vessel,,,
200002958,Fishing vessel,Fishing vessel,,,
200003004,Fishing vessel,Fishing vessel,,,
200003085,Fishing vessel,Fishing vessel,,,
200003130,Fishing vessel,Fishing vessel,,,
200003289,Fishing vessel,Fishing vessel,,,
200003311,Fishing vessel,Fishing vessel,,,
200003354,Fishing vessel,Fishing vessel,,,
200003362,Fishing vessel,Fishing vessel,,,
200003412,Fishing vessel,Fishing vessel,,,
200003447,Fishing vessel,Fishing vessel,,,
200003510,Fishing vessel,Fishing vessel,,,
200003562,Fishing vessel,Fishing vessel,,,
200003585,Fishing vessel,Fishing vessel,,,
200003590,Fishing vessel,Fishing vessel,,,
200003608,Fishing vessel,Fishing vessel,,,
200003618,Fishing vessel,Fishing vessel,,,
200003655,Fishing vessel,Fishing vessel,,,
200003716,Fishing vessel,Fishing vessel,,,
200003753,Fishing vessel,Fishing vessel,,,
200003904,Fishing vessel,Fishing vessel,,,
200003913,Fishing vessel,Fishing vessel,,,
200003925,Fishing vessel,Fishing vessel,,,
200003933,Fishing vessel,Fishing vessel,,,
200003962,Fishing vessel,Fishing vessel,,,
200004019,Fishing vessel,Fishing vessel,,,
200004027,Fishing vessel,Fishing vessel,,,
200004038,Fishing vessel,Fishing vessel,,,
200004046,Fishing vessel,Fishing vessel,,,
200004054,Fishing vessel,Fishing vessel,,,
200004133,Fishing vessel,Fishing vessel,,,
200004166,Fishing vessel,Fishing vessel,,,
200004176,Fishing vessel,Fishing vessel,,,
200004285,Fishing vessel,Fishing vessel,,,
200004292,Fishing vessel,Fishing vessel,,,
200004348,Fishing vessel,Fishing vessel,,,
200004391,Fishing vessel,Fishing vessel,,,
200004392,Fishing vessel,Fishing vessel,,,
200004405,Fishing vessel,Fishing vessel,,,
200004440,Fishing vessel,Fishing vessel,,,
200004446,Fishing vessel,Fishing vessel,,,
200004451,Fishing vessel,Fishing vessel,,,
200004454,Fishing vessel,Fishing vessel,,,
200004533,Fishing vessel,Fishing vessel,,,
200004534,Fishing vessel,Fishing vessel,,,
200004574,Fishing vessel,Fishing vessel,,,
200004607,Fishing vessel,Fishing vessel,,,
200004615,Fishing vessel,Fishing vessel,,,
200004674,Fishing vessel,Fishing vessel,,,
200004676,Fishing vessel,Fishing vessel,,,
200004678,Fishing vessel,Fishing vessel,,,
200004697,Fishing vessel,Fishing vessel,,,
200004727,Fishing vessel,Fishing vessel,,,
200004758,Fishing vessel,Fishing vessel,,,
200004766,Fishing vessel,Fishing vessel,,,
200004804,Fishing vessel,Fishing vessel,,,
200004826,Fishing vessel,Fishing vessel,,,
200004835,Fishing vessel,Fishing vessel,,,
200004855,Fishing vessel,Fishing vessel,,,
200004965,Fishing vessel,Fishing vessel,,,
200004979,Fishing vessel,Fishing vessel,,,
200004995,Fishing vessel,Fishing vessel,,,
200005060,Fishing vessel,Fishing vessel,,,
200005109,Fishing vessel,Fishing vessel,,,
200005150,Fishing vessel,Fishing vessel,,,
200005165,Fishing vessel,Fishing vessel,,,
200005212,Fishing vessel,Fishing vessel,,,
200005317,Fishing vessel,Fishing vessel,,,
200005340,Fishing vessel,Fishing vessel,,,
200005348,Fishing vessel,Fishing vessel,,,
200005362,Fishing vessel,Fishing vessel,,,
200005381,Fishing vessel,Fishing vessel,,,
200005400,Fishing vessel,Fishing vessel,,,
200005404,Fishing vessel,Fishing vessel,,,
200005410,Fishing vessel,Fishing vessel,,,
200005453,Fishing vessel,Fishing vessel,,,
200005457,Fishing vessel,Fishing vessel,,,
200005459,Fishing vessel,Fishing vessel,,,
200005495,Fishing vessel,Fishing vessel,,,
200005498,Fishing vessel,Fishing vessel,,,
200005502,Fishing vessel,Fishing vessel,,,
200005511,Fishing vessel,Fishing vessel,,,
200005516,Fishing vessel,Fishing vessel,,,
200005520,Fishing vessel,Fishing vessel,,,
200005535,Fishing vessel,Fishing vessel,,,
200005536,Fishing vessel,Fishing vessel,,,
200005566,Fishing vessel,Fishing vessel,,,
200005573,Fishing vessel,Fishing vessel,,,
200005611,Fishing vessel,Fishing vessel,,,
200005668,Fishing vessel,Fishing vessel,,,
200005688,Fishing vessel,Fishing vessel,,,
200005717,Fishing vessel,Fishing vessel,,,
200005721,Fishing vessel,Fishing vessel,,,
200005734,Fishing vessel,Fishing vessel,,,
200005786,Fishing vessel,Fishing vessel,,,
200005787,Fishing vessel,Fishing vessel,,,
200005808,Fishing vessel,Fishing vessel,,,
200005817,Fishing vessel,Fishing vessel,,,
200005822,Fishing vessel,Fishing vessel,,,
200005837,Fishing vessel,Fishing vessel,,,
200005844,Fishing vessel,Fishing vessel,,,
200005854,Fishing vessel,Fishing vessel,,,
200005855,Fishing vessel,Fishing vessel,,,
200005856,Fishing vessel,Fishing vessel,,,
200005863,Fishing vessel,Fishing vessel,,,
200005866,Fishing vessel,Fishing vessel,,,
200005873,Fishing vessel,Fishing vessel,,,
200005881,Fishing vessel,Fishing vessel,,,
200005886,Fishing vessel,Fishing vessel,,,
200005896,Fishing vessel,Fishing vessel,,,
200005911,Fishing vessel,Fishing vessel,,,
200005935,Fishing vessel,Fishing vessel,,,
200005941,Fishing vessel,Fishing vessel,,,
200005942,Fishing vessel,Fishing vessel,,,
200005943,Fishing vessel,Fishing vessel,,,
200005944,Fishing vessel,Fishing vessel,,,
200005955,Fishing vessel,Fishing vessel,,,
200005969,Fishing vessel,Fishing vessel,,,
200005972,Fishing vessel,Fishing vessel,,,
200005975,Fishing vessel,Fishing vessel,,,
200005976,Fishing vessel,Fishing vessel,,,
200005978,Fishing vessel,Fishing vessel,,,
200005979,Fishing vessel,Fishing vessel,,,
200005980,Fishing vessel,Fishing vessel,,,
200005981,Fishing vessel,Fishing vessel,,,
200005986,Fishing vessel,Fishing vessel,,,
200005989,Fishing vessel,Fishing vessel,,,
200005995,Fishing vessel,Fishing vessel,,,
200005998,Fishing vessel,Fishing vessel,,,
200006000,Fishing vessel,Fishing vessel,,,
200006001,Fishing vessel,Fishing vessel,,,
200006005,Fishing vessel,Fishing vessel,,,
200006006,Fishing vessel,Fishing vessel,,,
200006016,Fishing vessel,Fishing vessel,,,
200006029,Fishing vessel,Fishing vessel,,,
200006060,Fishing vessel,Fishing vessel,,,
200006065,Fishing vessel,Fishing vessel,,,
200006072,Fishing vessel,Fishing vessel,,,
200006089,Fishing vessel,Fishing vessel,,,
200006090,Fishing vessel,Fishing vessel,,,
200006094,Fishing vessel,Fishing vessel,,,
200006119,Fishing vessel,Fishing vessel,,,
200006139,Fishing vessel,Fishing vessel,,,
200006148,Fishing vessel,Fishing vessel,,,
200006178,Fishing vessel,Fishing vessel,,,
200006241,Fishing vessel,Fishing vessel,,,
200006253,Fishing vessel,Fishing vessel,,,
200006260,Fishing vessel,Fishing vessel,,,
200006274,Fishing vessel,Fishing vessel,,,
200006285,Fishing vessel,Fishing vessel,,,
200006292,Fishing vessel,Fishing vessel,,,
200006297,Fishing vessel,Fishing vessel,,,
200006299,Fishing vessel,Fishing vessel,,,
200006342,Fishing vessel,Fishing vessel,,,
200006343,Fishing vessel,Fishing vessel,,,
200006352,Fishing vessel,Fishing vessel,,,
200006356,Fishing vessel,Fishing vessel,,,
200006394,Fishing vessel,Fishing vessel,,,
200006446,Fishing vessel,Fishing vessel,,,
200006453,Fishing vessel,Fishing vessel,,,
200006456,Fishing vessel,Fishing vessel,,,
200006463,Fishing vessel,Fishing vessel,,,
200006466,Fishing vessel,Fishing vessel,,,
200006467,Fishing vessel,Fishing vessel,,,
200006472,Fishing vessel,Fishing vessel,,,
200006509,Fishing vessel,Fishing vessel,,,
200006532,Fishing vessel,Fishing vessel,,,
200006542,Fishing vessel,Fishing vessel,,,
200006544,Fishing vessel,Fishing vessel,,,
200006589,Fishing vessel,Fishing vessel,,,
200006607,Fishing vessel,Fishing vessel,,,
200006637,Fishing vessel,Fishing vessel,,,
200006639,Fishing vessel,Fishing vessel,,,
200006661,Fishing vessel,Fishing vessel,,,
200006667,Fishing vessel,Fishing vessel,,,
200006688,Fishing vessel,Fishing vessel,,,
