mmsi,label,sublabel,length,tonnage,country
130,Tug/Pilot/Supply,Tug,nan,nan,nan
131,Tug/Pilot/Supply,Tug,nan,nan,nan
132,Tug/Pilot/Supply,Tug,nan,nan,nan
133,Tug/Pilot/Supply,Tug,nan,nan,nan
134,Tug/Pilot/Supply,Tug,nan,nan,nan
135,Tug/Pilot/Supply,Tug,nan,nan,nan
136,Tug/Pilot/Supply,Tug,nan,nan,nan
137,Tug/Pilot/Supply,Tug,nan,nan,nan
138,Tug/Pilot/Supply,Tug,nan,nan,nan
139,Tug/Pilot/Supply,Tug,nan,nan,nan
140,Tug/Pilot/Supply,Tug,nan,nan,nan
141,Tug/Pilot/Supply,Tug,nan,nan,nan
142,Tug/Pilot/Supply,Tug,nan,nan,nan
143,Tug/Pilot/Supply,Tug,nan,nan,nan
144,Tug/Pilot/Supply,Tug,nan,nan,nan
145,Tug/Pilot/Supply,Tug,nan,nan,nan
146,Tug/Pilot/Supply,Tug,nan,nan,nan
147,Tug/Pilot/Supply,Tug,nan,nan,nan
148,Tug/Pilot/Supply,Tug,nan,nan,nan
149,Tug/Pilot/Supply,Tug,nan,nan,nan
150,Tug/Pilot/Supply,Tug,nan,nan,nan
151,Tug/Pilot/Supply,Tug,nan,nan,nan
152,Tug/Pilot/Supply,Tug,nan,nan,nan
157,Fishing vessel,Fishing vessel,nan,nan,nan
225,Fishing vessel,Fishing vessel,nan,nan,nan
238,Fishing vessel,Fishing vessel,nan,nan,nan
345,Fishing vessel,Fishing vessel,nan,nan,nan
356,Passenger,Passenger,nan,nan,nan
412,Fishing vessel,Fishing vessel,nan,nan,nan
456,Fishing vessel,Fishing vessel,nan,nan,nan
707,Fishing vessel,Fishing vessel,nan,nan,nan
721,Fishing vessel,Fishing vessel,nan,nan,nan
1172,Fishing vessel,Fishing vessel,nan,nan,nan
1253,Fishing vessel,Fishing vessel,nan,nan,nan
1266,Fishing vessel,Fishing vessel,nan,nan,nan
1425,Fishing vessel,Fishing vessel,nan,nan,nan
1458,Fishing vessel,Fishing vessel,nan,nan,nan
1712,Fishing vessel,Fishing vessel,nan,nan,nan
1720,Fishing vessel,Fishing vessel,nan,nan,nan
1811,Fishing vessel,Fishing vessel,nan,nan,nan
2081,Fishing vessel,Fishing vessel,nan,nan,nan
2349,Fishing vessel,Fishing vessel,nan,nan,nan
2419,Fishing vessel,Fishing vessel,nan,nan,nan
4024,Fishing vessel,Fishing vessel,nan,nan,nan
5625,Fishing vessel,Fishing vessel,nan,nan,nan
6149,Fishing vessel,Fishing vessel,nan,nan,nan
6239,Fishing vessel,Fishing vessel,nan,nan,nan
8396,Tug/Pilot/Supply,Pilot,nan,nan,nan
10201,Fishing vessel,Fishing vessel,nan,nan,nan
10223,Fishing vessel,Fishing vessel,nan,nan,nan
11118,Fishing vessel,Fishing vessel,nan,nan,nan
11121,Fishing vessel,Fishing vessel,nan,nan,nan
11158,Fishing vessel,Fishing vessel,nan,nan,nan
11311,Fishing vessel,Fishing vessel,nan,nan,nan
11346,Fishing vessel,Fishing vessel,nan,nan,nan
11723,Fishing vessel,Fishing vessel,nan,nan,nan
12270,Fishing vessel,Fishing vessel,nan,nan,nan
12347,Fishing vessel,Fishing vessel,nan,nan,nan
12348,Fishing vessel,Fishing vessel,nan,nan,nan
12432,Fishing vessel,Fishing vessel,nan,nan,nan
13060,Fishing vessel,Fishing vessel,nan,nan,nan
13104,Fishing vessel,Fishing vessel,nan,nan,nan
14334,Fishing vessel,Fishing vessel,nan,nan,nan
16560,Fishing vessel,Fishing vessel,nan,nan,nan
17718,Fishing vessel,Fishing vessel,nan,nan,nan
18291,Fishing vessel,Fishing vessel,nan,nan,nan
21441,Fishing vessel,Fishing vessel,nan,nan,nan
22068,Fishing vessel,Fishing vessel,nan,nan,nan
23456,Fishing vessel,Fishing vessel,nan,nan,nan
31151,Fishing vessel,Fishing vessel,nan,nan,nan
67976,Fishing vessel,Fishing vessel,nan,nan,nan
90696,Fishing vessel,Fishing vessel,nan,nan,nan
101843,Fishing vessel,Fishing vessel,nan,nan,nan
110722,Fishing vessel,Fishing vessel,nan,nan,nan
111189,Fishing vessel,Fishing vessel,nan,nan,nan
150048,Fishing vessel,Fishing vessel,nan,nan,nan
201851,Longliners,Longliners,33.899999999999999,271.0,nan
500430,Longliners,Longliners,49.300000000000075,428.5,nan
527918,Fishing vessel,Fishing vessel,nan,nan,nan
773000,Fishing vessel,Fishing vessel,nan,nan,nan
5321000,Fishing vessel,Fishing vessel,nan,nan,nan
8072781,Fishing vessel,Fishing vessel,nan,nan,nan
9010680,Fishing vessel,Fishing vessel,nan,nan,nan
9102346,Fishing vessel,Fishing vessel,nan,nan,nan
9102659,Fishing vessel,Fishing vessel,nan,nan,nan
9102734,Fishing vessel,Fishing vessel,nan,nan,nan
9102739,Fishing vessel,Fishing vessel,nan,nan,nan
9103568,Cargo/Tanker,Cargo,nan,nan,nan
9103960,Fishing vessel,Fishing vessel,nan,nan,nan
9104468,Fishing vessel,Fishing vessel,nan,nan,nan
9110796,Fishing vessel,Fishing vessel,nan,nan,nan
10421670,Purse seines,Purse seines,nan,nan,nan
21555388,Fishing vessel,Fishing vessel,nan,nan,nan
23361900,Fishing vessel,Fishing vessel,26.609999999999999,235.0,nan
23509931,Set gillnets,Set gillnets,11.890000000000001,24.23,nan
24004950,Fishing vessel,Fishing vessel,nan,nan,nan
24022380,Fishing vessel,Fishing vessel,nan,nan,nan
24081180,Fishing vessel,Fishing vessel,nan,nan,nan
24466031,Cargo/Tanker,Tanker,nan,nan,nan
24593300,Trawlers,Trawlers,23.989999999999998,147.0,nan
25000116,Trawlers,Trawlers,11.960000000000001,22.510000000000002,nan
26103770,Longliners,Set longlines,17.260000000000002,36.0,nan
36706320,Fishing vessel,Fishing vessel,nan,nan,nan
36764000,Fishing vessel,Fishing vessel,nan,nan,nan
37329000,Fishing vessel,Fishing vessel,nan,nan,nan
41222068,Fishing vessel,Fishing vessel,nan,nan,nan
41269518,Fishing vessel,Fishing vessel,nan,nan,nan
41278146,Fishing vessel,Fishing vessel,nan,nan,nan
44710802,Passenger,Passenger,nan,nan,nan
45663000,Fishing vessel,Fishing vessel,nan,nan,nan
47100460,Fishing vessel,Fishing vessel,nan,nan,nan
47147590,Fishing vessel,Fishing vessel,nan,nan,nan
47795119,Passenger,Passenger,nan,nan,nan
49000000,Fishing vessel,Fishing vessel,nan,nan,nan
57173720,Fishing vessel,Fishing vessel,nan,nan,nan
60000270,Fishing vessel,Fishing vessel,nan,nan,nan
61025890,Fishing vessel,Fishing vessel,nan,nan,nan
76000203,Fishing vessel,Fishing vessel,nan,nan,nan
76000210,Fishing vessel,Fishing vessel,nan,nan,nan
76001160,Fishing vessel,Fishing vessel,nan,nan,nan
91681688,Fishing vessel,Fishing vessel,nan,nan,nan
98301528,Fishing vessel,Fishing vessel,nan,nan,nan
98302515,Fishing vessel,Fishing vessel,nan,nan,nan
98302686,Fishing vessel,Fishing vessel,nan,nan,nan
98302862,Fishing vessel,Fishing vessel,nan,nan,nan
98304432,Fishing vessel,Fishing vessel,nan,nan,nan
98307977,Fishing vessel,Fishing vessel,nan,nan,nan
98308481,Fishing vessel,Fishing vessel,nan,nan,nan
98308807,Fishing vessel,Fishing vessel,nan,nan,nan
98309298,Fishing vessel,Fishing vessel,nan,nan,nan
100000005,Fishing vessel,Fishing vessel,nan,nan,nan
100000018,Fishing vessel,Fishing vessel,nan,nan,nan
100000046,Fishing vessel,Fishing vessel,nan,nan,nan
100000668,Fishing vessel,Fishing vessel,nan,nan,nan
100001001,Fishing vessel,Fishing vessel,nan,nan,nan
100006094,Fishing vessel,Fishing vessel,nan,nan,nan
100009981,Fishing vessel,Fishing vessel,nan,nan,nan
100014971,Fishing vessel,Fishing vessel,nan,nan,nan
100036862,Fishing vessel,Fishing vessel,nan,nan,nan
100040189,Fishing vessel,Fishing vessel,nan,nan,nan
100506940,Fishing vessel,Fishing vessel,nan,nan,nan
100700034,Fishing vessel,Fishing vessel,nan,nan,nan
100700052,Fishing vessel,Fishing vessel,nan,nan,nan
100700106,Fishing vessel,Fishing vessel,nan,nan,nan
100700127,Fishing vessel,Fishing vessel,nan,nan,nan
100700144,Fishing vessel,Fishing vessel,nan,nan,nan
100700146,Fishing vessel,Fishing vessel,nan,nan,nan
100700159,Fishing vessel,Fishing vessel,nan,nan,nan
100700227,Fishing vessel,Fishing vessel,nan,nan,nan
100700231,Fishing vessel,Fishing vessel,nan,nan,nan
100700474,Fishing vessel,Fishing vessel,nan,nan,nan
100700695,Fishing vessel,Fishing vessel,nan,nan,nan
100700761,Fishing vessel,Fishing vessel,nan,nan,nan
100700762,Fishing vessel,Fishing vessel,nan,nan,nan
100700767,Fishing vessel,Fishing vessel,nan,nan,nan
100700772,Fishing vessel,Fishing vessel,nan,nan,nan
100700775,Fishing vessel,Fishing vessel,nan,nan,nan
100700779,Fishing vessel,Fishing vessel,nan,nan,nan
100700798,Fishing vessel,Fishing vessel,nan,nan,nan
100700806,Fishing vessel,Fishing vessel,nan,nan,nan
100700832,Fishing vessel,Fishing vessel,nan,nan,nan
100700833,Fishing vessel,Fishing vessel,nan,nan,nan
100701053,Fishing vessel,Fishing vessel,nan,nan,nan
100701098,Fishing vessel,Fishing vessel,nan,nan,nan
100701145,Fishing vessel,Fishing vessel,nan,nan,nan
100701332,Fishing vessel,Fishing vessel,nan,nan,nan
100701337,Fishing vessel,Fishing vessel,nan,nan,nan
100701567,Fishing vessel,Fishing vessel,nan,nan,nan
100701656,Fishing vessel,Fishing vessel,nan,nan,nan
100701827,Fishing vessel,Fishing vessel,nan,nan,nan
100701977,Fishing vessel,Fishing vessel,nan,nan,nan
100701981,Fishing vessel,Fishing vessel,nan,nan,nan
100702529,Fishing vessel,Fishing vessel,nan,nan,nan
100702531,Fishing vessel,Fishing vessel,nan,nan,nan
100702534,Fishing vessel,Fishing vessel,nan,nan,nan
100702538,Fishing vessel,Fishing vessel,nan,nan,nan
100702574,Fishing vessel,Fishing vessel,nan,nan,nan
100702578,Fishing vessel,Fishing vessel,nan,nan,nan
100702606,Fishing vessel,Fishing vessel,nan,nan,nan
100702670,Fishing vessel,Fishing vessel,nan,nan,nan
100702679,Fishing vessel,Fishing vessel,nan,nan,nan
100702825,Fishing vessel,Fishing vessel,nan,nan,nan
100702921,Fishing vessel,Fishing vessel,nan,nan,nan
100703127,Fishing vessel,Fishing vessel,nan,nan,nan
100703173,Fishing vessel,Fishing vessel,nan,nan,nan
100704186,Fishing vessel,Fishing vessel,nan,nan,nan
100704617,Fishing vessel,Fishing vessel,nan,nan,nan
100704653,Fishing vessel,Fishing vessel,nan,nan,nan
100705211,Fishing vessel,Fishing vessel,nan,nan,nan
100705277,Fishing vessel,Fishing vessel,nan,nan,nan
100705669,Fishing vessel,Fishing vessel,nan,nan,nan
100705859,Fishing vessel,Fishing vessel,nan,nan,nan
100705863,Fishing vessel,Fishing vessel,nan,nan,nan
100706178,Fishing vessel,Fishing vessel,nan,nan,nan
100706185,Fishing vessel,Fishing vessel,nan,nan,nan
100706198,Fishing vessel,Fishing vessel,nan,nan,nan
100706558,Fishing vessel,Fishing vessel,nan,nan,nan
100710265,Fishing vessel,Fishing vessel,nan,nan,nan
100714050,Fishing vessel,Fishing vessel,nan,nan,nan
100800276,Fishing vessel,Fishing vessel,nan,nan,nan
100880405,Fishing vessel,Fishing vessel,nan,nan,nan
100881741,Fishing vessel,Fishing vessel,nan,nan,nan
100882984,Fishing vessel,Fishing vessel,nan,nan,nan
100900001,Fishing vessel,Fishing vessel,nan,nan,nan
100900051,Fishing vessel,Fishing vessel,nan,nan,nan
101306007,Fishing vessel,Fishing vessel,nan,nan,nan
101306353,Fishing vessel,Fishing vessel,nan,nan,nan
101306904,Fishing vessel,Fishing vessel,nan,nan,nan
101307017,Fishing vessel,Fishing vessel,nan,nan,nan
101307108,Fishing vessel,Fishing vessel,nan,nan,nan
101307455,Fishing vessel,Fishing vessel,nan,nan,nan
101406487,Fishing vessel,Fishing vessel,nan,nan,nan
101406542,Fishing vessel,Fishing vessel,nan,nan,nan
101406573,Fishing vessel,Fishing vessel,nan,nan,nan
101406580,Fishing vessel,Fishing vessel,nan,nan,nan
101406838,Fishing vessel,Fishing vessel,nan,nan,nan
101406858,Fishing vessel,Fishing vessel,nan,nan,nan
101406888,Fishing vessel,Fishing vessel,nan,nan,nan
101406961,Fishing vessel,Fishing vessel,nan,nan,nan
101406962,Fishing vessel,Fishing vessel,nan,nan,nan
101407346,Fishing vessel,Fishing vessel,nan,nan,nan
101407875,Fishing vessel,Fishing vessel,nan,nan,nan
101408351,Fishing vessel,Fishing vessel,nan,nan,nan
101408390,Fishing vessel,Fishing vessel,nan,nan,nan
101500705,Fishing vessel,Fishing vessel,nan,nan,nan
103298888,Fishing vessel,Fishing vessel,nan,nan,nan
104700852,Fishing vessel,Fishing vessel,nan,nan,nan
109865198,Fishing vessel,Fishing vessel,nan,nan,nan
110040625,Fishing vessel,Fishing vessel,nan,nan,nan
110200436,Fishing vessel,Fishing vessel,nan,nan,nan
110300041,Fishing vessel,Fishing vessel,nan,nan,nan
110300228,Fishing vessel,Fishing vessel,nan,nan,nan
110300248,Fishing vessel,Fishing vessel,nan,nan,nan
110300259,Fishing vessel,Fishing vessel,nan,nan,nan
110300578,Fishing vessel,Fishing vessel,nan,nan,nan
110308888,Fishing vessel,Fishing vessel,nan,nan,nan
110700014,Fishing vessel,Fishing vessel,nan,nan,nan
110700044,Fishing vessel,Fishing vessel,nan,nan,nan
110700123,Fishing vessel,Fishing vessel,nan,nan,nan
110700329,Fishing vessel,Fishing vessel,nan,nan,nan
110700770,Fishing vessel,Fishing vessel,nan,nan,nan
110700852,Fishing vessel,Fishing vessel,nan,nan,nan
110700873,Fishing vessel,Fishing vessel,nan,nan,nan
110700881,Fishing vessel,Fishing vessel,nan,nan,nan
110700917,Fishing vessel,Fishing vessel,nan,nan,nan
110700972,Fishing vessel,Fishing vessel,nan,nan,nan
110700977,Fishing vessel,Fishing vessel,nan,nan,nan
110702817,Fishing vessel,Fishing vessel,nan,nan,nan
110703107,Fishing vessel,Fishing vessel,nan,nan,nan
110703120,Fishing vessel,Fishing vessel,nan,nan,nan
110703143,Fishing vessel,Fishing vessel,nan,nan,nan
110703147,Fishing vessel,Fishing vessel,nan,nan,nan
110703359,Fishing vessel,Fishing vessel,nan,nan,nan
110705296,Fishing vessel,Fishing vessel,nan,nan,nan
110705682,Fishing vessel,Fishing vessel,nan,nan,nan
110705748,Fishing vessel,Fishing vessel,nan,nan,nan
110705761,Fishing vessel,Fishing vessel,nan,nan,nan
110705896,Fishing vessel,Fishing vessel,nan,nan,nan
110706289,Fishing vessel,Fishing vessel,nan,nan,nan
110706446,Fishing vessel,Fishing vessel,nan,nan,nan
110706456,Fishing vessel,Fishing vessel,nan,nan,nan
110706492,Fishing vessel,Fishing vessel,nan,nan,nan
110706763,Fishing vessel,Fishing vessel,nan,nan,nan
110706766,Fishing vessel,Fishing vessel,nan,nan,nan
110706798,Fishing vessel,Fishing vessel,nan,nan,nan
110706891,Fishing vessel,Fishing vessel,nan,nan,nan
110766666,Fishing vessel,Fishing vessel,nan,nan,nan
110767890,Fishing vessel,Fishing vessel,nan,nan,nan
110777777,Fishing vessel,Fishing vessel,nan,nan,nan
110785555,Fishing vessel,Fishing vessel,nan,nan,nan
110798998,Fishing vessel,Fishing vessel,nan,nan,nan
110898998,Fishing vessel,Fishing vessel,nan,nan,nan
110982229,Fishing vessel,Fishing vessel,nan,nan,nan
110988000,Fishing vessel,Fishing vessel,nan,nan,nan
111005141,Fishing vessel,Fishing vessel,nan,nan,nan
111100000,Reefer,Reefer,nan,nan,nan
111111110,Cargo/Tanker,Cargo,nan,nan,nan
111111118,Fishing vessel,Fishing vessel,nan,nan,nan
111111188,Fishing vessel,Fishing vessel,nan,nan,nan
111203371,Fishing vessel,Fishing vessel,nan,nan,nan
111203412,Fishing vessel,Fishing vessel,nan,nan,nan
111203548,Fishing vessel,Fishing vessel,nan,nan,nan
111203873,Fishing vessel,Fishing vessel,nan,nan,nan
111203949,Fishing vessel,Fishing vessel,nan,nan,nan
111206315,Fishing vessel,Fishing vessel,nan,nan,nan
111357575,Fishing vessel,Fishing vessel,nan,nan,nan
111888666,Fishing vessel,Fishing vessel,nan,nan,nan
112461278,Fishing vessel,Fishing vessel,nan,nan,nan
112925432,Fishing vessel,Fishing vessel,nan,nan,nan
113333333,Fishing vessel,Fishing vessel,nan,nan,nan
115677890,Fishing vessel,Fishing vessel,nan,nan,nan
115678989,Fishing vessel,Fishing vessel,nan,nan,nan
115678999,Fishing vessel,Fishing vessel,nan,nan,nan
116788667,Fishing vessel,Fishing vessel,nan,nan,nan
117897897,Fishing vessel,Fishing vessel,nan,nan,nan
117897898,Fishing vessel,Fishing vessel,nan,nan,nan
120400154,Fishing vessel,Fishing vessel,nan,nan,nan
120413790,Fishing vessel,Fishing vessel,nan,nan,nan
120700522,Fishing vessel,Fishing vessel,nan,nan,nan
120701454,Fishing vessel,Fishing vessel,nan,nan,nan
120703221,Fishing vessel,Fishing vessel,nan,nan,nan
120788999,Fishing vessel,Fishing vessel,nan,nan,nan
121000287,Fishing vessel,Fishing vessel,nan,nan,nan
121001428,Fishing vessel,Fishing vessel,nan,nan,nan
122222286,Fishing vessel,Fishing vessel,nan,nan,nan
122332223,Fishing vessel,Fishing vessel,nan,nan,nan
122408213,Fishing vessel,Fishing vessel,nan,nan,nan
123088888,Fishing vessel,Fishing vessel,nan,nan,nan
123134026,Fishing vessel,Fishing vessel,nan,nan,nan
123403001,Fishing vessel,Fishing vessel,nan,nan,nan
123450020,Purse seines,Purse seines,nan,nan,nan
123450800,Purse seines,Purse seines,nan,nan,nan
123456765,Fishing vessel,Fishing vessel,nan,nan,nan
123456787,Fishing vessel,Fishing vessel,nan,nan,nan
123456798,Fishing vessel,Fishing vessel,nan,nan,nan
123678568,Fishing vessel,Fishing vessel,nan,nan,nan
123789888,Fishing vessel,Fishing vessel,nan,nan,nan
123842988,Fishing vessel,Fishing vessel,nan,nan,nan
123898989,Fishing vessel,Fishing vessel,nan,nan,nan
124345678,Fishing vessel,Fishing vessel,nan,nan,nan
125588837,Fishing vessel,Fishing vessel,nan,nan,nan
129870987,Fishing vessel,Fishing vessel,nan,nan,nan
130400805,Fishing vessel,Fishing vessel,nan,nan,nan
130400806,Fishing vessel,Fishing vessel,nan,nan,nan
130400920,Fishing vessel,Fishing vessel,nan,nan,nan
130660453,Fishing vessel,Fishing vessel,nan,nan,nan
130700215,Fishing vessel,Fishing vessel,nan,nan,nan
130700221,Fishing vessel,Fishing vessel,nan,nan,nan
130700433,Fishing vessel,Fishing vessel,nan,nan,nan
130700536,Fishing vessel,Fishing vessel,nan,nan,nan
130700549,Fishing vessel,Fishing vessel,nan,nan,nan
130700551,Fishing vessel,Fishing vessel,nan,nan,nan
130700705,Fishing vessel,Fishing vessel,nan,nan,nan
130701733,Fishing vessel,Fishing vessel,nan,nan,nan
130701836,Fishing vessel,Fishing vessel,nan,nan,nan
130702005,Fishing vessel,Fishing vessel,nan,nan,nan
138550555,Fishing vessel,Fishing vessel,nan,nan,nan
139766666,Fishing vessel,Fishing vessel,nan,nan,nan
139797823,Fishing vessel,Fishing vessel,nan,nan,nan
140000055,Fishing vessel,Fishing vessel,nan,nan,nan
140000111,Fishing vessel,Fishing vessel,nan,nan,nan
140100081,Fishing vessel,Fishing vessel,nan,nan,nan
140100083,Fishing vessel,Fishing vessel,nan,nan,nan
140400479,Fishing vessel,Fishing vessel,nan,nan,nan
140400613,Fishing vessel,Fishing vessel,nan,nan,nan
140401040,Fishing vessel,Fishing vessel,nan,nan,nan
140402427,Fishing vessel,Fishing vessel,nan,nan,nan
140700857,Fishing vessel,Fishing vessel,nan,nan,nan
140701193,Fishing vessel,Fishing vessel,nan,nan,nan
140701544,Fishing vessel,Fishing vessel,nan,nan,nan
140703185,Fishing vessel,Fishing vessel,nan,nan,nan
141000257,Fishing vessel,Fishing vessel,nan,nan,nan
141000258,Fishing vessel,Fishing vessel,nan,nan,nan
141000479,Fishing vessel,Fishing vessel,nan,nan,nan
141150000,Fishing vessel,Fishing vessel,nan,nan,nan
146003620,Fishing vessel,Fishing vessel,nan,nan,nan
147899211,Fishing vessel,Fishing vessel,nan,nan,nan
150000285,Fishing vessel,Fishing vessel,nan,nan,nan
150200002,Fishing vessel,Fishing vessel,nan,nan,nan
